#Teff,Styp,nH,U,dZ,T_H0,T_H+,T_H2
34419,7.5,1.25,-1,0,3.713,3.721,3.687
35531,7,1.25,-1,0,3.677,3.677,3.672
36826,6.5,1.25,-1,0,3.653,3.652,3.657
38151,6,1.25,-1,0,3.656,3.655,3.661
40062,5.5,1.25,-1,0,3.686,3.686,3.691
41540,5,1.25,-1,0,3.698,3.697,3.702
43419,4,1.25,-1,0,3.719,3.718,3.722
44616,3,1.25,-1,0,3.734,3.732,3.737
30488,9.5,1.5,-3,0,3.63,3.632,3.621
31524,9,1.5,-3,0,3.642,3.646,3.626
32522,8.5,1.5,-3,0,3.644,3.652,3.62
33383,8,1.5,-3,0,3.688,3.659,3.655
34419,7.5,1.5,-3,0,3.701,3.683,3.656
35531,7,1.5,-3,0,3.711,3.704,3.658
36826,6.5,1.5,-3,0,3.72,3.723,3.657
38151,6,1.5,-3,0,3.733,3.748,3.657
40062,5.5,1.5,-3,0,3.781,3.796,3.66
41540,5,1.5,-3,0,3.79,3.805,3.659
43419,4,1.5,-3,0,3.802,3.819,3.659
44616,3,1.5,-3,0,3.809,3.828,3.66
30488,9.5,1.5,-2,0,3.756,3.725,3.688
31524,9,1.5,-2,0,3.767,3.741,3.684
32522,8.5,1.5,-2,0,3.777,3.756,3.681
33383,8,1.5,-2,0,3.785,3.769,3.674
34419,7.5,1.5,-2,0,3.794,3.783,3.668
35531,7,1.5,-2,0,3.801,3.791,3.674
36826,6.5,1.5,-2,0,3.805,3.793,3.668
38151,6,1.5,-2,0,3.81,3.792,3.671
40062,5.5,1.5,-2,0,3.824,3.803,3.664
41540,5,1.5,-2,0,3.837,3.81,3.664
43419,4,1.5,-2,0,3.849,3.822,3.669
44616,3,1.5,-2,0,3.858,3.831,3.672
30488,9.5,1.5,-1,0,3.717,3.719,3.715
31524,9,1.5,-1,0,3.73,3.731,3.727
32522,8.5,1.5,-1,0,3.737,3.739,3.728
33383,8,1.5,-1,0,3.738,3.742,3.718
34419,7.5,1.5,-1,0,3.718,3.725,3.695
35531,7,1.5,-1,0,3.687,3.687,3.682
36826,6.5,1.5,-1,0,3.667,3.666,3.67
38151,6,1.5,-1,0,3.671,3.67,3.674
40062,5.5,1.5,-1,0,3.698,3.698,3.703
41540,5,1.5,-1,0,3.711,3.71,3.714
43419,4,1.5,-1,0,3.732,3.73,3.734
44616,3,1.5,-1,0,3.746,3.744,3.748
30488,9.5,1.75,-3,0,3.632,3.636,3.62
31524,9,1.75,-3,0,3.63,3.637,3.612
32522,8.5,1.75,-3,0,3.688,3.655,3.654
33383,8,1.75,-3,0,3.698,3.673,3.654
34419,7.5,1.75,-3,0,3.711,3.696,3.658
35531,7,1.75,-3,0,3.72,3.716,3.654
36826,6.5,1.75,-3,0,3.728,3.734,3.657
38151,6,1.75,-3,0,3.741,3.757,3.657
40062,5.5,1.75,-3,0,3.786,3.803,3.659
41540,5,1.75,-3,0,3.794,3.812,3.657
43419,4,1.75,-3,0,3.806,3.824,3.659
44616,3,1.75,-3,0,3.813,3.833,3.662
30488,9.5,1.75,-2,0,3.763,3.734,3.69
31524,9,1.75,-2,0,3.774,3.749,3.689
32522,8.5,1.75,-2,0,3.783,3.764,3.683
33383,8,1.75,-2,0,3.79,3.776,3.675
34419,7.5,1.75,-2,0,3.799,3.789,3.671
35531,7,1.75,-2,0,3.806,3.797,3.673
36826,6.5,1.75,-2,0,3.81,3.799,3.671
38151,6,1.75,-2,0,3.814,3.799,3.67
40062,5.5,1.75,-2,0,3.828,3.809,3.663
41540,5,1.75,-2,0,3.84,3.817,3.663
43419,4,1.75,-2,0,3.852,3.828,3.668
44616,3,1.75,-2,0,3.861,3.837,3.675
30488,9.5,1.75,-1,0,3.725,3.726,3.723
31524,9,1.75,-1,0,3.735,3.736,3.733
32522,8.5,1.75,-1,0,3.742,3.745,3.735
33383,8,1.75,-1,0,3.742,3.746,3.725
34419,7.5,1.75,-1,0,3.724,3.73,3.705
35531,7,1.75,-1,0,3.702,3.702,3.696
36826,6.5,1.75,-1,0,3.684,3.683,3.687
38151,6,1.75,-1,0,3.687,3.686,3.69
40062,5.5,1.75,-1,0,3.714,3.713,3.718
